name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type
MAXI_J1820+070,18 20 22.13,+07 11 05.8,2018-07-03 1:33:32,1200120194,4962,VALIDATED,2018-07-08 2:04:33,2018-07-17,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 06.1,2018-07-04 20:52:00,1200120195,691,VALIDATED,2018-07-09 3:31:01,2018-07-18,DDT_TOO
MAXI_J1820+070,18 20 22.10,+07 11 05.6,2018-07-05 6:30:00,1200120196,3625.15973,VALIDATED,2018-07-10 3:43:02,2018-07-19,DDT_TOO
MAXI_J1820+070,18 20 22.08,+07 11 05.9,2018-07-06 0:36:11,1200120197,0,VALIDATED,2018-07-12 5:11:52,2018-07-20,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 06.5,2018-07-07 0:10:40,1200120198,0,VALIDATED,2018-07-12 10:42:22,2018-07-21,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 07.1,2018-07-08 0:28:30,1200120199,0,VALIDATED,2018-07-12 15:33:36,2018-07-22,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 07.3,2018-07-09 0:04:12,1200120201,0,VALIDATED,2018-07-13 20:28:49,2018-07-23,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 07.4,2018-07-10 0:34:57,1200120202,0,VALIDATED,2018-07-16 13:56:27,2018-07-24,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.1,2018-07-10 23:57:03,1200120203,0,VALIDATED,2018-09-10 19:06:18,2018-07-25,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 07.6,2018-07-12 0:15:13,1200120204,0,VALIDATED,2018-07-17 19:23:55,2018-07-26,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.4,2018-07-13 1:22:59,1200120205,0,VALIDATED,2018-07-17 21:28:48,2018-07-27,DDT_TOO
MAXI_J1820+070,18 20 22.03,+07 11 05.4,2018-07-14 2:06:16,1200120206,0,VALIDATED,2018-07-18 15:30:21,2018-07-28,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 06.4,2018-07-15 4:20:35,1200120207,0,VALIDATED,2018-07-19 14:59:38,2018-07-29,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 08.8,2018-07-16 0:23:38,1200120208,0,VALIDATED,2018-07-20 14:21:51,2018-07-30,DDT_TOO
MAXI_J1820+070,18 20 21.74,+07 11 10.6,2018-07-17 2:35:00,1200120209,0,VALIDATED,2018-07-23 14:31:14,2018-07-31,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 09.2,2018-07-18 7:52:00,1200120210,84.78547,VALIDATED,2018-07-23 16:26:04,2018-08-01,DDT_TOO
MAXI_J1820+070,18 20 22.06,+07 11 18.6,2018-07-19 6:46:24,1200120211,0,VALIDATED,2018-07-23 17:59:26,2018-08-02,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 15.9,2018-07-20 1:17:00,1200120212,0,VALIDATED,2018-07-24 15:59:09,2018-08-03,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 10.6,2018-07-21 2:03:26,1200120213,0,VALIDATED,2018-07-25 14:23:07,2018-08-04,DDT_TOO
MAXI_J1820+070,18 20 22.13,+07 11 12.8,2018-07-22 10:37:16,1200120214,0,VALIDATED,2018-07-26 19:23:27,2018-08-05,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 09.4,2018-07-23 2:10:45,1200120215,0,VALIDATED,2018-07-27 15:41:07,2018-08-06,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 10.4,2018-07-24 7:33:40,1200120216,0,VALIDATED,2018-07-31 0:14:15,2018-08-07,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 09.0,2018-07-25 0:33:49,1200120217,0,VALIDATED,2018-07-31 1:06:43,2018-08-08,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 09.5,2018-07-26 6:01:20,1200120218,0,VALIDATED,2018-07-31 2:58:34,2018-08-09,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 09.3,2018-07-27 0:30:13,1200120219,0,VALIDATED,2018-08-01 2:18:33,2018-08-10,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 08.8,2018-07-28 21:14:20,1200120220,0,VALIDATED,2018-08-01 5:28:17,2018-08-11,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 08.8,2018-07-29 20:24:20,1200120221,0,VALIDATED,2018-08-01 16:34:45,2018-08-12,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.9,2018-07-30 8:49:26,1200120222,0,VALIDATED,2018-08-03 16:23:20,2018-08-13,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 09.3,2018-07-31 3:17:20,1200120223,0,VALIDATED,2018-08-04 16:05:20,2018-08-14,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 08.8,2018-08-01 0:54:42,1200120224,0,VALIDATED,2018-08-06 16:31:04,2018-08-15,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 09.0,2018-08-02 9:23:19,1200120225,0,VALIDATED,2018-08-06 19:19:55,2018-08-16,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.7,2018-08-03 6:58:02,1200120226,0,VALIDATED,2018-08-07 17:27:57,2018-08-17,DDT_TOO
MAXI_J1820+070,18 20 22.01,+07 11 08.7,2018-08-04 1:30:00,1200120227,0,VALIDATED,2018-08-08 19:07:18,2018-08-18,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 08.6,2018-08-05 20:55:22,1200120228,0,VALIDATED,2018-08-09 16:24:31,2018-08-19,DDT_TOO
MAXI_J1820+070,18 20 22.03,+07 11 08.9,2018-08-06 18:33:28,1200120229,0,VALIDATED,2018-08-10 16:21:10,2018-08-20,DDT_TOO
MAXI_J1820+070,18 20 22.20,+07 11 11.1,2018-08-07 18:57:19,1200120230,0,VALIDATED,2018-08-12 19:02:20,2018-08-21,DDT_TOO
MAXI_J1820+070,18 20 22.18,+07 11 08.6,2018-08-08 15:00:16,1200120231,0,VALIDATED,2018-08-12 20:46:52,2018-08-22,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.2,2018-08-09 14:09:55,1200120232,0,VALIDATED,2018-09-13 19:25:56,2018-08-23,DDT_TOO
MAXI_J1820+070,18 20 21.98,+07 11 07.1,2018-08-10 8:41:55,1200120233,0,VALIDATED,2018-08-14 17:05:21,2018-08-24,DDT_TOO
MAXI_J1820+070,18 20 21.96,+07 11 06.8,2018-08-11 0:08:57,1200120234,0,VALIDATED,2018-09-13 20:42:54,2018-08-25,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 06.3,2018-08-12 5:29:38,1200120235,0,VALIDATED,2018-08-16 16:14:14,2018-08-26,DDT_TOO
MAXI_J1820+070,18 20 21.82,+07 11 06.8,2018-08-13 10:50:18,1200120236,0,VALIDATED,2018-08-17 16:37:53,2018-08-27,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 06.7,2018-08-14 21:27:51,1200120237,0,VALIDATED,2018-08-21 3:10:25,2018-08-28,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.7,2018-08-16 2:31:20,1200120238,0,VALIDATED,2018-08-21 17:12:33,2018-08-30,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 06.6,2018-08-17 1:42:20,1200120239,0,VALIDATED,2018-08-21 18:15:35,2018-08-31,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 11 06.2,2018-08-19 8:56:19,1200120240,0,VALIDATED,2018-08-23 15:08:51,2018-09-02,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 06.1,2018-08-21 11:54:19,1200120241,0,VALIDATED,2018-08-26 15:58:37,2018-09-04,DDT_TOO
MAXI_J1820+070,18 20 21.84,+07 11 05.7,2018-08-22 7:59:39,1200120242,0,VALIDATED,2018-08-27 15:45:27,2018-09-05,DDT_TOO
MAXI_J1820+070,18 20 21.86,+07 10 50.9,2018-08-23 11:46:00,1200120243,0,VALIDATED,2018-08-28 16:30:21,2018-09-06,DDT_TOO
MAXI_J1820+070,18 20 21.72,+07 11 17.7,2018-08-24 7:54:02,1200120244,0,VALIDATED,2018-08-28 17:47:48,2018-09-07,DDT_TOO
MAXI_J1820+070,18 20 21.91,+07 11 05.9,2018-08-30 4:55:33,1200120245,0,VALIDATED,2018-09-06 0:58:36,2018-09-13,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 05.7,2018-08-31 4:03:10,1200120246,0,VALIDATED,2018-09-06 2:21:43,2018-09-14,DDT_TOO
MAXI_J1820+070,18 20 21.89,+07 11 05.5,2018-09-01 3:09:08,1200120247,0,VALIDATED,2018-09-06 3:40:53,2018-09-15,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 06.0,2018-09-02 2:08:40,1200120248,0,VALIDATED,2018-09-06 16:38:56,2018-09-16,DDT_TOO
MAXI_J1820+070,18 20 21.94,+07 11 06.1,2018-09-03 3:06:12,1200120249,0,VALIDATED,2018-09-07 19:07:18,2018-09-17,DDT_TOO
MAXI_J1820+070,18 20 23.16,+07 11 01.3,2018-09-04 6:50:00,1200120250,0,VALIDATED,2018-09-10 22:18:49,2018-09-18,DDT_TOO
MAXI_J1820+070,18 20 22.61,+07 11 03.9,2018-09-05 5:59:00,1200120251,0,VALIDATED,2018-09-11 0:18:23,2018-09-19,DDT_TOO
MAXI_J1820+070,18 20 22.42,+07 11 00.8,2018-09-06 22:02:13,1200120252,0,VALIDATED,2018-09-11 3:37:35,2018-09-20,DDT_TOO
MAXI_J1820+070,18 20 22.37,+07 11 03.2,2018-09-07 4:10:20,1200120253,0,VALIDATED,2018-09-11 5:21:11,2018-09-21,DDT_TOO
MAXI_J1820+070,18 20 22.44,+07 11 20.8,2018-09-08 22:10:51,1200120254,0,VALIDATED,2018-09-11 17:14:43,2018-09-22,DDT_TOO
